Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,22u,
C2,0805,1,10u,
C3,CP_Radial_D6.3mm_P2.50mm,1,100u,
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
J1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Servo1,
J2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Servo2,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Battery,
MD1,MURATA_OKL-T-6-W12N-C_0,1,OKL-T_6-W12N-C,OKL-T/6-W12N-C
R1,0603,1,430,
R2,0603,1,910,
R3,0603,1,10k,
R4,0603,1,1k,
U1,MOUDLE14P-SMD-2.54-21X17.8MM,1,MOUDLE-SEEEDUINO-XIAO-ESP32C3,
